Year,Literacy Rate
1976,66.92
1977,67.11
1978,67.58
1979,68.03
1980,68.32
1981,68.88
1982,69.38
1983,69.92
1984,70.46
1985,70.93
1986,71.38
1987,71.96
1988,73.66
1989,74.1
1990,74.32
1991,74.88
1992,75.32
1993,75.75
1994,76.17
1995,76.58
1996,77
1997,79.03
1998,80.21
1999,80.55
2000,80.68
2001,80.99
2002,81.4
2003,81.92
2004,82.34
2005,82.26
2006,82.53
2007,82.82
2008,83.34
2009,83.62
2010,84.02
2011,84.28
2012,84.73
2013,84.93
2014,85.36
2015,85.54
2016,85.99
2017,86.22
2018,86.25
2019,86.48
2020,86.68
